Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Ceenik Exports,CEENIKEXPO,Ceenik Exports (India) Ltd,,N/A,-18.7,-58.6,94.1,5.34,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,3.6,EY:0.5 MoS:1.0 Cap:0.6 Div:1.5,⚠️ Value Trap
Tata Chemicals,TATACHEM,Tata Chemicals Ltd,27.0,3.70%,4.06,3.17,"17,636",1.59,-15,6,Negative Growth,4.50,Negative Growth+Yield,3.56,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining,3.0,EY:1.0 MoS:0.2 Cap:0.6 Div:1.2,⚠️ Value Trap
TARC Ltd,TARC,TARC Ltd,,N/A,-7.27,-14.1,"3,939",0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
OneSource Speci.,ONESOURCE,OneSource Specialty Pharma Ltd,345,0.29%,2.05,0.45,"18,298",0.00,27,17,12.78,20.29,12.78,20.29,5.6,V:2.0 L:8.8 R:8.4 T:3.2,🛡️ Mature,1.8,EY:0.5 MoS:0.5 Cap:0.6 Div:0.2,⚠️ Value Trap
AG Ventures,OCCL,AG Ventures Ltd,6.10,16.39%,0.35,1.17,128,0.00,-59,-48,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.5,EY:3.5 MoS:0.2 Cap:0.6 Div:0.2,⚖️ Fair Value
Dhunseri Invest.,DHUNINV,Dhunseri Investments Ltd,,N/A,-3.05,-2.44,622,0.30,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
The Bombay Burmah,BBTC,The Bombay Burmah Trading Corporation Ltd,132,0.76%,19.6,30.8,"10,554",1.12,-28,122,Negative Growth,1.08,Negative Growth+Yield,1.07,3.7,V:0.8 L:8.8 R:2.0 T:3.2,🔻 Declining,4.0,EY:0.5 MoS:0.2 Cap:2.5 Div:0.8,⚠️ Value Trap
B P C L,BPCL,Bharat Petroleum Corporation Ltd,9.02,11.09%,32.1,29.9,"1,36,318",5.57,107,13,0.08,0.69,0.08,0.49,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection,10.0,EY:3.5 MoS:2.5 Cap:2.5 Div:1.5,💎 Deep Value
Competent Auto,COMPEAU,Competent Automobiles Company Ltd,8.87,11.27%,8.70,6.56,221,0.27,1,7,8.87,1.27,6.98,1.22,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,5.6,EY:3.5 MoS:0.5 Cap:1.1 Div:0.5,⚖️ Fair Value
Suraj Estate,SURAJEST,Suraj Estate Developers Ltd,12.3,8.13%,13.1,8.13,911,0.00,27,66,0.46,0.19,0.46,0.19,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,7.1,EY:2.8 MoS:2.5 Cap:1.6 Div:0.2,🌟 Quality Value
Oriana Power Ltd,ORIANA,Oriana Power Ltd,10.5,9.52%,50.6,40.4,"2,761",0.00,176,148,0.06,0.07,0.06,0.07,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Monte Carlo Fas.,MONTECARLO,Monte Carlo Fashions Ltd,11.0,9.09%,14.0,12.8,"1,149",3.62,-6,11,Negative Growth,1.00,Negative Growth+Yield,0.75,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,6.1,EY:2.8 MoS:0.2 Cap:1.6 Div:1.5,⚖️ Fair Value
Robust Hotels,RHL,Robust Hotels Ltd,11.4,8.77%,5.71,3.46,306,0.00,-24,23,Negative Growth,0.50,Negative Growth+Yield,0.50,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,3.8,EY:2.8 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
Vraj Iron,VRAJ,Vraj Iron & Steel Ltd,13.2,7.58%,10.2,7.39,422,0.00,-17,25,Negative Growth,0.53,Negative Growth+Yield,0.53,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.8 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Sharvaya Metals,544506,Sharvaya Metals Ltd,11.9,8.40%,28.7,23.3,139,0.00,82,N/A,0.15,N/A,0.15,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
